Policy code,Policy,Expert Category
K001-1,"Facebook and Twitter note that automated systems can struggle to differentiate authentic images and accounts from fraudulent, unauthorized, or duplicated accounts and thereby risk erroneously flagging and removing legitimate accounts. The platforms have chosen to err on the side of minimizing false negatives by relying upon patterns of suspicious activity and certain tactics or techniques, rather than on other identifying data (e.g., duplicative names or images, geolocation information, or ostensible organizational affiliations).",Actors
K001-2,"Law enforcement agencies, such as the FBI, are constrained in their abilities to efficiently identify and eliminate spoofers because the agencies only have limited access to the data held by the social media platforms. Often these agencies do not receive important information until after the platforms have already removed a spoofed account, at which point law enforcement is unable to actively monitor and trace the account in real time.",Actors
K001-3,"The ability of spoofers to operate from overseas, anonymously, or by using fraudulent or concealed identities requires law enforcement to rely upon account identification data and detailed activity patterns in order to accurately identify or locate the potential spoofer. However, Title II of the Electronic Communications Privacy Act (ECPA) (18 U.S.C. Sec. Sec. 2701-2713), known as the Stored Communications Act, requires a government entity to serve a subpoena on social media platforms to compel the production of certain relevant information. Requiring a time-consuming legal process to obtain identification data hampers the ability of law enforcement to respond quickly or to fully understand the scope of a potential spoofing campaign. Therefore, the law enforcement agencies recommend increasing the amount and level of detail that the platforms can easily provide to the authorities. Past attempts to address this problem have been piecemeal in nature and have proven ineffective to date. This fragmented approach has prevented any wholesale, systemic efforts to tighten rules or law enforcement protocols. Incremental adjustments have been made by individual platforms, which leaves an irregular landscape where motivated, corrupt actors may still be able to exploit weaknesses among the platforms.",Actors
K001-4,"the Committee believes that there are additional measures needed to address the growing threats posed by spoofing. Our recommendations fall into two broad categories. The first category is oriented at users of social media and is defensive in nature, such as teaching users how to be aware of the dangers posed by spoofers on social media and training them how to protect themselves through heightened vigilance, healthy skepticism, and adherence to basic principles of cyberhygiene. 1. Improve Awareness through a Public Service Announcement Campaign 2. Develop Cyber-hygiene Training 3. Strengthen Partnership Between Social Media Platforms and VSOs",Actors
K001-5,"The second category is aimed at putting the social media platforms and law enforcement on the offensive and developing robust mechanisms to more effectively identify and quickly eliminate foreign-based spoofers. While the first category is likely to be less costly and easier to implement, the second category may ultimately prove to be more effective in bringing the threat under control. 4. Improve Reviews of Accounts by Social Media Platforms 5. Consider Legislative Reforms to Facilitate Sharing Information 6. Increase Data Sharing on Fraudulent Accounts 7. Improve Identity Verification and Geolocation Identification",Actors
K002.1,"H.R. 4782, the National Commission on Online Platforms and Homeland Security Act, would create a bipartisan, 12-member Commission comprised of non-government experts to study the ways, if any, that online platforms, including platforms used for social media and social networking, have been utilized in furtherance of acts of targeted violence, including domestic and international terrorism, as well as covert foreign influence campaigns. The Commission would examine the implications of such use, if any, on free speech, privacy, civil rights and civil liberties, as well as actions taken by platform owners and operators in response to such utilization. The Commission would be tasked with developing recommendations for how online platforms could address such utilization in ways that promote transparency, free speech and innovation on the internet, preserve individual privacy, civil rights, and civil liberties, and uphold the principles of the U.S. Constitution in accordance with relevant statutes, and take into account current or anticipated trends and technological developments, such as advancements in artificial intelligence.",Context
K002.2,"Terrorist groups at home and abroad have long made use of the internet to spread their ideologies globally.1 Since 2013, the Islamic State of Iraq and Syria (ISIS) has used social media to inspire and recruit members across the world, producing relatively polished videos displaying shocking acts of brutality and violence designed to go viral and build the notoriety of the group.2",Context
K002.3,domestic extremist groups such as white supremacists and anti-government extremists have made use of online platforms to spread their messages and connect with like-minded individuals.,Context
K002.4,"Hostile foreign governments have also demonstrated an ability to use online platforms as a tool to carry out covert influence campaigns designed to sow political discord, foster societal polarization, and interfere in elections around the world, including the United States.",Context
K002/2,"Mainstream social media platforms have made amplification of content easier while smaller platforms like 8chan and Gab have enabled fringe perspectives to cluster into self-reinforcing echo chambers, 3 then gather and communicate privately using encrypted messaging apps like WhatsApp and Telegram.4 Websites like Stormfront”once labeled the murder capital of the Internet 5 by the South Poverty Law Center”has declined in influence 6 as extremists have migrated to websites like the Daily Stormer, 4chan, 8chan, and Gab, which claim to not moderate speech.7 Meanwhile, terrorists and extremist groups continue to take advantage of mainstream platforms like YouTube and Facebook Live to broadcast to larger audiences.",Actors
K002/4,"public attention has generally focused on the role of social media platforms in making content available to a wide audience, recent reporting suggests that these platforms algorithms, using features such as recommendations, may be actively pushing users toward increasingly extreme content 19 tailored to specific users based on, for instance, their past activity on the platform.20 In May 2019, the Associated Press reported that Facebooks algorithms had actually generated automated terrorist content,",Actors
K002/6,"The solution to the proliferation of terrorist content on online platforms will necessarily involve the owners and operators of online platforms developing better strategies to manage platform features and content in ways that are transparent, equitable, consistent, and enforceable.",Actors
K002/7,"The Commission, established under H.R. 4782, would be chaired by an expert in privacy, civil rights, or civil liberties and its membership will include individuals with expertise in those areas, as well as computer science and engineering, digital media and communications, online platform management, cybersecurity, information operations, and national security. The Commission will be charged with studying: ¢ How effectively platform owners and operators have been able to respond to the use of their platforms in furtherance of targeted violence, including domestic and international ter- rorism, or covert foreign state influence campaigns. ¢ The ways, if any, that algorithms and other automated decision-making systems may impact privacy, civil rights, and civil liberties, or affect online activity in furtherance of targeted violence, including domestic and international terrorism, or covert foreign state influence campaigns. ¢ The extent to which platforms have transparent, consistent, and equitable policies to enforce terms of service or codes of conduct, provide notice and opportunity for redress, or otherwise address violations of platform rules consistent with the Santa Clara Principles on Transparency and Accountability in Content Moderation, and other best practices. ¢ The extent to which online platforms consistently and effectively enforce their platform rules. ¢ Whether owners and operators of online platforms consider the potential for platforms to be used in furtherance of targeted violence, including domestic and international terrorism, or covert foreign state influence campaigns when evaluating potential partnerships, advertising agreements, or business opportunities. The Commission is granted limited subpoena authority to compel operational information from online platforms”but cannot compel information related to an individual user or group of users”to inform a report, to be published two years after the first Commission meeting, that includes recommendations on: (1) policy mechanisms to address findings in a manner that promotes free speech, privacy and civil liberties, and other Constitutional principles; (2) voluntary policies and procedures that platforms could implement to address Commission findings in accordance with such Constitutional principles; (3) voluntary mechanisms to improve transparency and accountability; and (4) areas where additional research is required.",Actors
K002:1,"if any, that online platforms, including platforms used for social media and social networking, have been utilized in furtherance of acts of targeted violence, including domestic and international terrorism, as well as covert foreign influence campaigns.",Issue
K002_1,"H.R. 4782, the National Commission on Online Platforms and Homeland Security Act, would create a bipartisan, 12-member Commission comprised of non-government experts to study the ways, if any, that online platforms, including platforms used for social media and social networking, have been utilized in furtherance of acts of targeted violence, including domestic and international terrorism, as well as covert foreign influence campaigns. The Commission would examine the implications of such use, if any, on free speech, privacy, civil rights and civil liberties, as well as actions taken by platform owners and operators in response to such utilization.",Channels
K002_2,"Similarly, domestic extremist groups such as white supremacists and anti-government extremists have made use of online platforms to spread their messages and connect with like-minded individuals.",Channels
K002_4,"stance by turning propaganda videos by jihadist terrorist groups into an anniversary video celebrating one year of the users content.21 In another case, the National Whistleblower Center found that Facebook automatically generated a page for the Syrian terrorist group Hayat Tahrir al-Sham.22 The site was still live as of June 24, 2019, nearly two months after the initial report, with nearly 4,500 likes.",Channels
K002_5,"As a whole, social media companies and other online platforms have been slow to respond to the proliferation of terrorist content and the spread of disinformation on their sites. Recent terrorist attacks in Christchurch, New Zealand,23 El Paso, Texas,24 Halle, Germany,25 and elsewhere”have raised serious questions about the use of online platforms by terrorists and other bad actors wanting to amplify and share violent terrorist content. At the same time, some of the solutions that have been proposed to address these problems may have the unintended consequence of restricting free speech, stifling innovation, or targeting already-vulnerable groups in the name of rooting out bad actors.",Channels
K002_6,"The ways, if any, that algorithms and other automated decision-making systems may impact privacy, civil rights, and civil liberties, or affect online activity in furtherance of targeted violence, including domestic and international terrorism, or covert foreign state influence campaigns.",Channels
K002-1,"H.R. 4782, the National Commission on Online Platforms and Homeland Security Act, would create a bipartisan, 12-member Commission comprised of non-government experts to study the ways, if any, that online platforms, including platforms used for social media and social networking, have been utilized in furtherance of acts of targeted violence",Actors
K002-2,"The Commission would be tasked with developing recommendations for how online platforms could address such utilization in ways that promote transparency, free speech and innovation on the internet, preserve individual privacy, civil rights, and civil liberties, and uphold the principles of the U.S. Constitution in accordance with relevant statutes, and take into account current or anticipated trends and technological developments, such as advancements in artificial intelligence.",Actors
K002-3,"The Commission, established under H.R. 4782, would be chaired by an expert in privacy, civil rights, or civil liberties and its membership will include individuals with expertise in those areas, as well as computer science and engineering, digital media and communications, online platform management, cybersecurity, information operations, and national security. The Commission will be charged with studying:",Actors
K006-1,"The purpose of todays hearing is to examine the dominance of Amazon, Apple, Facebook, and Google.",Actors
P201*3,"The Attorney General shall establish a workiMay of 2019, the White House launched a Tech Bias Reporting tool to allow Americans to report incidents of online censorship. In just weeks, the White House received over 16,000 complaints of online platforms censoring or otherwise taking action against users based on their political viewpoints. The White House will submit such complaints received to the Department of Justice and the Federal Trade Commission (FTC). (c) The FTC shall consider taking action, as appropriate and consistent with applicable law, to prohibit unfair or deceptive acts or practices in or affecting commerce, pursuant to section 45 of title 15, United States Code. Such unfair or deceptive acts or practice may include practices by entities covered by section 230 that restrict speech in ways that do not align with those entities' public representations about those practices. (d) For large online platforms that are vast arenas for public debate, including the social media platform Twitter, the FTC shall also, consistent with its legal authority, consider whether complaints allege violations of law that implicate the policies set forth in section 4(a) of this order. The FTC shall consider developing Start Printed Page 34082 a report describing such complaints and making the report publicly available, consistent with applicable law.ng group regarding the potential enforcement of State statutes that prohibit online platforms from engaging in unfair or deceptive acts or practices. The working group shall also develop model legislation for consideration by legislatures in States where existing statutes do not protect Americans from such unfair and deceptive acts and practices. The working group shall invite State Attorneys General for discussion and consultation, as appropriate and consistent with applicable law.",Instrument
P201*4,"The Attorney General shall establish a working group regarding the potential enforcement of State statutes that prohibit online platforms from engaging in unfair or deceptive acts or practices. The working group shall also develop model legislation for consideration by legislatures in States where existing statutes do not protect Americans from such unfair and deceptive acts and practices. The working group shall invite State Attorneys General for discussion and consultation, as appropriate and consistent with applicable law.",Instrument
P201*5,"(b) Complaints described in section 4(b) of this order will be shared with the working group, consistent with applicable law.",Instrument
P201*6,Sec. 6. Legislation. The Attorney General shall develop a proposal for Federal legislation that would be useful to promote the policy objectives of this order.,Instrument
P201.1,"Section 1. Policy. Free speech is the bedrock of American democracy. Our Founding Fathers protected this sacred right with the First Amendment to the Constitution. The freedom to express and debate ideas is the foundation for all of our rights as a free people. In a country that has long cherished the freedom of expression, we cannot allow a limited number of online platforms to hand pick the speech that Americans may access and convey on the internet. This practice is fundamentally un-American and anti-democratic. When large, powerful social media companies censor opinions with which they disagree, they exercise a dangerous power. They cease functioning a s passive bulletin boards, and ought to be viewed and treated as content creators. The growth of online platforms in recent years raises important questions about applying the ideals of the First Amendment to modern communications technology. Today, many Americans follow the news, stay in touch with friends and family, and share their views on current events through social media and other online platforms. As a result, these platforms function in many ways as a 21st century equivalent of the public square.",Context
P201/2,"Twitter, Facebook, Instagram, and YouTube wield immense, if not unprecedented, power to shape the interpretation of public events; to censor, delete, or disappear information; and to control what people see or do not see.",Actors
P201/3,"As President, I have made clear my commitment to free and open debate on the internet. Such debate is just as important online as it is in our universities, our town halls, and our homes. It is essential to sustaining our democracy. Online platforms are engaging in selective censorship that is harming our national discourse. Tens of thousands of Americans have reported, among other troubling behaviors, online platforms œflagging� content as inappropriate, even DOCUMENT DETAILS Printed version: PDF Publication Date: 06/02/2020 Agency: Executive Office of the President Document Type: Presidential Document Presidential Document Type: Executive Order E.O. Citation: E.O. 13925 of May 28, 2020 E.O. Notes: Revoked by: EO 14029, May 14, 2021 Document Citation: 85 FR 34079 Page: 34079-34083 (5 pages) Document Number: 2020-12030 DOCUMENT DETAILS DOCUMENT STATISTICS Page views: 33,801 as of 03/11/2022 at 12:15 am EST DOCUMENT STATISTICS though it does not violate any stated terms of service; making unannounced and unexplained changes to company policies that have the effect of disfavoring certain viewpoints; and deleting content and entire accounts with no warning, no rationale, and no recourse. Twitter now selectively decides to place a warning label on certain tweets in a manner that clearly reflects political bias. As has been reported, Twitter seems never to have placed such a label on another politician's tweet. As recently as last week, Representative Adam Schiff was continuing to mislead his followers by peddling the long-disproved Russian Collusion Hoax, and Twitter did not flag those tweets. Unsurprisingly, its officer in charge of so-called œSite Integrity� has flaunted his political bias in his own tweets.",Actors
P201/5,this provision is not distorted to provide liability protection for online platforms that”far from acting in œgood faith� to remove objectionable content”instead engage in deceptive or pretextual actions (often contrary to their stated terms of service) to stifle viewpoints with which they disagree.,Actors
P201_1,"At the same time online platforms are invoking inconsistent, irrational, and groundless justifications to censor or otherwise restrict Americans' speech here at home, several online platforms are profiting from and promoting the aggression and disinformation spread by foreign governments like China. One United States company, for example, created a search engine for the Chinese Communist Party that would have blacklisted searches for œhuman rights,� hid data unfavorable to the Chinese Communist Party, and tracked users determined appropriate for surveillance. It also established research partnerships in China that provide direct benefits to the Chinese military. Other companies have accepted advertisements paid for by the Chinese government that spread false information about China's mass imprisonment of religious minorities, thereby enabling these abuses of human rights. They have also amplified China's propaganda abroad, including by allowing Chinese government officials to use their platforms to spread misinformation regarding the origins of the COVID-19 pandemic, and to undermine pro-democracy protests in Hong Kong.",Channels
P201-1,"To advance the policy described in subsection (a) of this section, all executive departments and agencies should ensure that their application of section 230(c) properly reflects the narrow purpose of the section and take all appropriate actions in this regard.",Actors
P201-2,"In addition, within 60 days of the date of this order, the Secretary of Commerce (Secretary), in consultation with the Attorney General, and acting through the National Telecommunications and Information Administration (NTIA), shall file a petition for rulemaking with the Federal Communications Commission (FCC) requesting that the FCC expeditiously propose regulations to clarify: (i) the interaction between subparagraphs (c)(1) and (c)(2) of section 230, in particular to clarify and determine the circumstances under which a provider of an interactive computer service that restricts access to content in a manner not specifically protected by subparagraph (c)(2)(A) may also not be able to claim protection under subparagraph (c)(1), which merely states that a provider shall not be treated as a publisher or speaker for making third-party content available and does not address the provider's responsibility for its own editorial decisions; (ii) the conditions under which an action restricting access to or availability of material is not œtaken in good faith� within the meaning of subparagraph (c)(2)(A) of section 230, particularly whether actions can be œtaken in good faith� if they are:",Actors
P201-3,"Sec. 3. Protecting Federal Taxpayer Dollars from Financing Online Platforms That Restrict Free Speech. (a) The head of each executive department and agency (agency) shall review its agency's Federal spending on advertising and marketing paid to online platforms. Such review shall include the amount of money spent, the online platforms that receive Federal dollars, and the statutory authorities available to restrict their receipt of advertising dollars. (b) Within 30 days of the date of this order, the head of each agency shall report its findings to the Director of the Office of Management and Budget. (c) The Department of Justice shall review the viewpoint-based speech restrictions imposed by each online platform identified in the report described in subsection (b) of this section and assess whether any online platforms are problematic vehicles for government speech due to viewpoint discrimination, deception to consumers, or other bad practices.",Actors
P201-4,"(b) In May of 2019, the White House launched a Tech Bias Reporting tool to allow Americans to report incidents of online censorship. In just weeks, the White House received over 16,000 complaints of online platforms censoring or otherwise taking action against users based on their political viewpoints. The White House will submit such complaints received to the Department of Justice and the Federal Trade Commission (FTC). î˜± (c) The FTC shall consider taking action, as appropriate and consistent with applicable law, to prohibit unfair or deceptive acts or practices in or affecting commerce, pursuant to section 45 of title 15, United States Code. Such unfair or deceptive acts or practice may include practices by entities covered by section 230 that restrict speech in ways that do not align with those entities' public representations about those practices. (d) For large online platforms that are vast arenas for public debate, including the social media platform Twitter, the FTC shall also, consistent with its legal authority, consider whether complaints allege violations of law that implicate the policies set forth in section 4(a) of this order. The FTC shall consider developing",Actors
P202*1,"Section 1. (a) The following actions shall be prohibited beginning 45 days after the date of this order, to the extent permitted under applicable law: any transaction by any person, or with respect to any property, subject to the jurisdiction of the United States, with ByteDance Ltd. (a.k.a. ZÃ¬jiÃ© TiÃ odÃ²ng), Beijing, China, or its subsidiaries, in which any such company has any interest, as identified by the Secretary of Commerce (Secretary) under section 1(c) of this order.",Instrument
P202*2,"The Secretary is hereby authorized to take such actions, including adopting rules and regulations, and to employ all powers granted to me by IEEPA as may be necessary to implement this order.",Instrument
P202.1,"I, DONALD J. TRUMP, President of the United States of America, find that additional steps must be taken to deal with the national emergency with respect to the information and communications technology and services supply chain declared in Executive Order 13873 of May 15, 2019 (Securing the Information and Communications Technology and Services Supply Chain). Specifically, the spread in the United States of mobile applications developed and owned by companies in the People's Republic of China (China) continues to threaten the national security, foreign policy, and economy of the United States. At this time, action must be taken to address the threat posed by one mobile application in particular, TikTok.",Context
P202.2,"TikTok automatically captures vast swaths of information from its users, including internet and other network activity information such as location data and browsing and search histories. This data collection threatens to allow the Chinese Communist Party access to Americans' personal and proprietary information”potentially allowing China to track the locations of Federal employees and contractors, build dossiers of DOCUMENT DETAILS Printed version: PDF Publication Date: 08/11/2020 Agency: Executive Office of the President Document Type: Presidential Document Presidential Document Type: Executive Order E.O. Citation: E.O. 13942 of Aug 6, 2020 E.O. Notes: See: EO 13873, May 15, 2019 Revoked by: EO 14034, June 9, 2021 Document Citation: 85 FR 48637 Page: 48637-48639 (3 pages) Document Number: 2020-17699 DOCUMENT DETAILS DOCUMENT STATISTICS Page views: 17,219 as of 03/11/2022 at 12:15 am EST DOCUMENT STATISTICS personal information for blackmail, and conduct corporate espionage.",Context
P202.3,"TikTok also reportedly censors content that the Chinese Communist Party deems politically sensitive, such as content concerning protests in Hong Kong and China's treatment of Uyghurs and other Muslim minorities. This mobile application may also be used for disinformation campaigns that benefit the Chinese Communist Party, such as when TikTok videos spread debunked conspiracy theories about the origins of the 2019 Novel Coronavirus.",Context
P202_1,"This mobile application may also be used for disinformation campaigns that benefit the Chinese Communist Party, such as when TikTok videos spread debunked conspiracy theories about the origins of the 2019 Novel Coronavirus.",Channels
P202-1,"The Department of Homeland Security, Transportation Security Administration, and the United States Armed Forces have already banned the use of TikTok on Federal Government phones.",Actors
P202-2,"Sec. 4. The Secretary is hereby authorized to take such actions, including adopting rules and regulations, and to employ all powers granted to me by IEEPA as may be necessary to implement this order. The Secretary may, consistent with applicable law, redelegate any of these functions within the Department of Commerce. All departments and agencies of the United States shall take all appropriate measures within their authority to implement this order.",Actors
P203*1,"Section 1. (a) The following actions shall be prohibited beginning 45 days after the date of this order, to the extent permitted under applicable law: any transaction that is related to WeChat by any person, or with respect to any property, subject to the jurisdiction of the United States, with Tencent Holdings Ltd. (a.k.a. TÃ©ngxÃ¹n KÃ²nggÅ­ YÅ�uxiÃ n GÅ�ngsÄ«), Shenzhen, China, or any subsidiary of that entity, as identified by the Secretary of Commerce (Secretary) under section 1(c) of this order.",Instrument
P203.1,"additional steps must be taken to deal with the national emergency with respect to the information and communications technology and services supply chain declared in Executive Order 13873 of May 15, 2019 (Securing the Information and Communications Technology and Services Supply Chain). As I explained in an Executive Order of August 6, 2020 (Addressing the Threat Posed by Tiktok, and Taking Additional Steps to Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain), the spread in the United States of mobile applications developed and owned by companies in the People's Republic of China (China) continues to threaten the national security, foreign policy, and economy of the United States. To protect our Nation, I took action to address the threat posed by one mobile application, TikTok. Further action is needed to address a similar threat posed by another mobile application, WeChat.",Context
P203.2,"In addition, the application captures the personal and proprietary information of Chinese nationals visiting the United States, thereby allowing the Chinese Communist Party a mechanism for keeping tabs on Chinese citizens who may be enjoying the benefits of a free society for the first time in their lives.",Context
P203_1,"WeChat, like TikTok, also reportedly censors content that the Chinese Communist Party deems politically sensitive and may also be used for disinformation campaigns that benefit the Chinese Communist Party.",Channels
P203-1,"Sec. 5. The Secretary is hereby authorized to take such actions, including adopting rules and regulations, and to employ all powers granted to me by IEEPA as may be necessary to implement this order. The Secretary may, consistent with applicable law, redelegate any of these functions within the Department of Commerce. All departments and agencies of the United States shall take all appropriate measures within their authority to implement this order.",Actors
P204:1,"In recent years, the proliferation of digital devices and internet-based communications has created significant vulnerabilities and magnified the scope and intensity of the threat of foreign interference.",Issue
P204_1,"In recent years, the proliferation of digital devices and internet-based communications has created significant vulnerabilities and magnified the scope and intensity of the threat of foreign interference. The ability of persons located, in whole or in substantial part, outside the United States to interfere in or undermine public confidence in United States elections, including through the unauthorized accessing of election and campaign infrastructure or the covert distribution of propaganda and disinformation, continues to pose an unusual and extraordinary threat to the national security and foreign policy of the United States.",Channels
P206*2,"steps to make data relevant to high-consequence public health threats, such as the COVID-19 pandemic, publicly available and accessible. (b) The COVID-19 Response Coordinator shall, as necessary, convene appropriate representatives from relevant agencies to coordinate the agencies' collection, provision, and analysis of data, including key equity indicators, regarding the COVID-19 response, as well as their sharing of such data with State, local, Tribal, and territorial authorities.",Instrument
P206*3,"(c) The Director of OMB, in consultation with the Director of OSTP, the United States Chief Technology Officer, and the COVID-19 Response Coordinator, shall promptly review the Federal Government's existing approaches to open data, and shall issue supplemental guidance, as appropriate and consistent with applicable law, concerning how to de-identify COVID-19-related data; how to make data open to the public in human- and machine-readable formats as rapidly as possible; and any other topic the Director of OMB concludes would appropriately advance the policy of this order.",Instrument
P206.1,"It is the policy of my Administration to respond to the coronavirus disease 2019 (COVID-19) pandemic through effective approaches guided by the best available science and data, including by building back a better public health infrastructure. This stronger public health infrastructure must help the Nation effectively prevent, detect, and respond to future biological threats, both domestically and internationally. Consistent with this policy, the heads of all executive departments and agencies (agencies) shall facilitate the gathering, sharing, and publication of COVID-19related data, in coordination with the Coordinator of the COVID-19 Response and Counselor to the President (COVID-19 Response Coordinator), to the extent permitted by law, and with appropriate protections for confidentiality, privacy, law enforcement, and national security. These efforts shall assist Federal, State, local, Tribal, and territorial authorities in developing and implementing policies to facilitate informed community decision-making, to further public understanding of the pandemic and the response, and to deter the spread of misinformation and disinformation.",Context
P206.2,"Sec. 2. Enhancing Data Collection and Collaboration Capabilities for High Consequence Public Health Threats, Such as the COVID-19 Pandemic. (a) The Secretary of Defense, the Attorney General, the Secretary of Commerce, the Secretary of Labor, the Secretary of Health and Human Services (HHS), the Secretary of Education, the Director of the Office of Management and Budget (OMB), the Director of National Intelligence, the Director of the Office of Science and Technology Policy (OSTP), and the Director of the National Science Foundation shall each promptly designate a senior official to serve as their agency's lead to work on COVID-19- and pandemic-related data issues. This official, in consultation with the COVID-19 Response Coordinator, shall take",Context
P206.3,"steps to make data relevant to high-consequence public health threats, such as the COVID-19 pandemic, publicly available and accessible. (b) The COVID-19 Response Coordinator shall, as necessary, convene appropriate representatives from relevant agencies to coordinate the agencies' collection, provision, and analysis of data, including key equity indicators, regarding the COVID-19 response, as well as their sharing of such data with State, local, Tribal, and territorial authorities. (c) The Director of OMB, in consultation with the Director of OSTP, the United States Chief Technology Officer, and the COVID-19 Response Coordinator, shall promptly review the Federal Government's existing approaches to open data, and shall issue supplemental guidance, as appropriate and consistent with applicable law, concerning how to de-identify COVID-19-related data; how to make data open to the public in human- and machine-readable formats as rapidly as possible; and any other topic the Director of OMB concludes would appropriately advance the policy of this order.",Context
P206/1,"Consistent with this policy, the heads of all executive departments and agencies (agencies) shall facilitate the gathering, sharing, and publication of COVID-19related data, in coordination with the Coordinator of the COVID-19 Response and Counselor to the President (COVID-19 Response Coordinator), to the extent permitted by law, and with appropriate protections for confidentiality, privacy, law enforcement, and national security. These efforts shall assist Federal, State, local, Tribal, and territorial authorities in developing and implementing policies to facilitate informed community decision-making, to further public understanding of the pandemic and the response, and to deter the spread of misinformation and disinformation.",Actors
P206:1,"to further public understanding of the pandemic and the response, and to deter the spread of misinformation and disinformation.",Issue
P206-1,"These efforts shall assist Federal, State, local, Tribal, and territorial authorities in developing and implementing policies to facilitate informed community decision-making, to further public understanding of the pandemic and the response, and to deter the spread of misinformation and disinformation.",Actors
P206-2,"(a) The Secretary of Defense, the Attorney General, the Secretary of Commerce, the Secretary of Labor, the Secretary of Health and Human Services (HHS), the Secretary of Education, the Director of the Office of Management and Budget (OMB), the Director of National Intelligence, the Director of the Office of Science and Technology Policy (OSTP), and the Director of the National Science Foundation shall each promptly designate a senior official to serve as their agency's lead to work on COVID-19- and pandemic-related data issues.",Actors
P206-3,"Sec. 3. Public Health Data Systems. The Secretary of HHS, in consultation with the COVID-19 Response Coordinator and the heads of relevant agencies, shall promptly: (a) review the effectiveness, interoperability, and connectivity of public health data systems supporting the detection of and response to high-consequence public health threats, such as the COVID-19 pandemic; (b) review the collection of morbidity and mortality data by State, local, Tribal, and territorial governments during high-consequence public health threats, such as the COVID-19 pandemic; and (c) issue a report summarizing the findings of the reviews detailed in subsections (a) and (b) of this section and any recommendations for addressing areas for improvement identified in the reviews.",Actors
P206-4,"Sec. 4. Advancing Innovation in Public Health Data and Analytics. The Director of OSTP, in coordination with the National Science and Technology Council, as appropriate, shall develop a plan for advancing innovation in public health data and analytics in the United States.",Actors
P207*1,"Sec. 3. Expanding Access to Voter Registration and Election Information. Agencies shall consider ways to expand citizens' opportunities to register to vote and to obtain information about, and participate in, the electoral process.",Instrument
P207-1,"Sec. 2. Policy. It is the policy of my Administration to promote and defend the right to vote for all Americans who are legally entitled to participate in elections. It is the responsibility of the Federal Government to expand access to, and education about, voter registration and election information, and to combat misinformation, in order to enable all eligible Americans to participate in our democracy.",Actors
P208:1,"Although there has been no evidence of a foreign power altering the outcomes or vote tabulation in any United States election, foreign powers have historically sought to exploit America's free and open political system.",Issue
P208-1,"Although there has been no evidence of a foreign power altering the outcomes or vote tabulation in any United States election, foreign powers have historically sought to exploit America's free and open political system. In recent years, the proliferation of digital devices and internet-based communications has created significant vulnerabilities and magnified the scope and intensity of the threat of foreign interference. The ability of persons located, in whole or in substantial part, outside the United States to interfere in or undermine public confidence in United States elections, including through the unauthorized accessing of election and campaign infrastructure or the covert distribution of propaganda and disinformation, continues to pose an unusual and extraordinary threat to the national security and foreign policy of the United States. For this reason, the national emergency declared on September 12, 2018, must continue in effect beyond September 12, 2021. Therefore, in accordance with section 202(d) of the National Emergencies Act (50 U.S.C. 1622(d)), I am continuing for 1 year the national emergency declared in Executive Order 13848 with respect to the threat of foreign interference in or undermining public confidence in United States elections.",Actors
P209*1,"The threats against our critical infrastructure are increasingly complex and nuanced, and we all must be prepared to better protect ourselves from malicious actors threatening our cyber and physical security. That means staying vigilant, investing in new security measures, being prepared to respond to threats, and collaborating more with our partners.",Instrument
P209.2,I call upon the people of the United States to recognize the importance of protecting our Nation's infrastructure and to observe this month with appropriate measures to enhance our national security and resilience.,Context
P209_1,"A key dimension of the Nation's resilience is safeguarding our democracy, which requires securing our election infrastructure. We have made tremendous progress working with State and local election officials over the past several years, but there is more to be done. We are particularly focused on improving the physical security of election officials as they face increasing threats of violence, securing election systems from cyber attacks, and confronting one of the most significant threats we see today: disinformation campaigns designed to undermine confidence in our elections, and ultimately, confidence in our democracy and our democratic institutions.",Channels
R006.1,Effective civics education is vital to protecting the Nation's democracy” especially at a time when its core institutions and values are threatened by misinformation.,Context
R006.2,"In a 2017 report, the Brookings Institution concluded that, œFunding efforts to enhance news literacy should be a high priority for governments. This is especially the case with people who are going online for the first time. For those individuals, it is hard to distinguish false from real news, and they need to learn how to evaluate news sources, not accept at face value everything they see on social media or digital news sites. Helping people become better consumers of online information is crucial as the world moves towards digital immersion.�",Context
R006.3,Civics education can be an opportunity to help students develop the skills necessary to meaningfully participate in our democracy and distinguish fact from misinformation. Well-designed programs can fuel student engagement in our democracy and provide students with the knowledge and skills to critically evaluate the materials they encounter by developing their information literacy.,Context
R006.4,"In its application, the applicants propose projects that describe how they will foster critical thinking and promote student engagement in civics education through professional development or other activities designed to support students in” (a) Evaluating sources and evidence using standards of proof; (b) Understanding their own biases when reviewing information, as well as uncovering and recognizing bias in primary and secondary sources; (c) Synthesizing information into cogent communications; and (d) Understanding how inaccurate information may be used to manipulate individuals, and developing strategies to recognize accurate and inaccurate information.",Context
R006-1,Ensuring that students have strong information literacy skills is especially important in an age of digital media consumption. According to a 2019 survey,Actors
R006-1,"The Department of Education (Department) proposes two priorities for the American History and Civics Education programs, including the Presidential and Congressional Academies for American History and Civics(Academies) and National Activities programs,",Actors
